wavelength,nflux
853.1002,16702120349536.344
853.1004000000001,16702112450886.623
853.1006000000002,16703808153275.766
853.1007999999999,16703800253827.102
853.1010000000001,16702088754957.553
853.1012,16702080856321.223
853.1013999999999,16700369359875.33
853.1016,16696954268036.844
853.1018,16695242775625.916
853.1020000000001,16691827689433.676
853.1022,16688412606467.406
853.1024000000002,16684997526727.088
853.1026,16681582450212.72
853.1028,16679870969097.64
853.103,16676451863473.049
853.1032,16674740386807.75
853.1034,16673028911757.09
853.1036,16671317438321.076
853.1038000000001,16671309554232.613
853.1040000000002,16669598083220.229
853.1042000000001,16667886613822.463
853.1044,16666175146039.35
853.1046000000001,16664463679870.87
853.1047999999998,16661048631612.365
853.105,16659337169478.799
853.1052,16657625708959.863
853.1054,16654210668767.84
853.1056000000001,16652499212283.809
853.1058000000002,16650787757414.396
853.1060000000002,16649076304159.62
853.1062,16647364852519.48
853.1064,16645653402493.955
853.1066,16645645530536.9
853.1067999999999,16645637658583.193
853.107,16645629786632.797
853.1072,16645621914685.746
853.1074000000001,16645614042742.025
853.1076,16647309743227.27
853.1078000000001,16647301870484.57
853.1080000000001,16647293997745.217
853.1082,16648989695017.889
853.1084,16647274224599.648
853.1086,16647266351872.96
853.1088,16647258479149.607
853.109,16645547040055.63
853.1092000000001,16643835602576.258
853.1094000000002,16642124166711.504
853.1096000000001,16640412732461.342
853.1098000000001,16636997736674.426
853.1100000000001,16633582744113.363
853.1102,16630167754778.205
853.1103999999999,16628456329403.406
853.1106000000001,16626744905643.234
853.1108,16625033483497.639
853.1110000000001,16623322062966.674
853.1112000000002,16623314201562.246
853.1114000000002,16625009896867.459
853.1116000000001,16626705590564.734
853.1118,16630104837749.107
853.112,16633504081714.256
853.1121999999999,16636903322460.197
853.1124,16640302559986.928
853.1126,16641998242421.957
853.1128000000001,16643693923249.047
853.1130000000002,16645389602468.223
853.1132000000001,16647085280079.445
853.1134000000001,16645373858782.814
853.1136,16643662439100.785
853.1137999999999,16641951021033.36
853.114,16638532032806.748
853.1142,16635117074173.701
853.1144,16631702118766.498
853.1146000000001,16629990709989.176
853.1148000000002,16629982845424.834
853.1150000000001,16629974980863.8
853.1152,16631670657293.242
853.1154000000001,16633366332114.76
853.1156,16635062005328.342
853.1157999999999,16638461215504.232
853.1160000000001,16641860422460.936
853.1162,16645259626198.463
853.1164000000001,16646955290563.469
853.1166000000001,16648650953320.537
853.1168,16650346614469.713
853.1170000000001,16650338740274.465
853.1172,16648627333151.72
853.1174,16646915927643.568
853.1175999999999,16645204523749.998
853.1178,16643493121471.002
853.1180000000002,16641781720806.605
853.1182000000001,16640070321756.777
853.1184000000002,16640062452418.643
853.1185999999999,16640054583083.818
853.1188000000001,16640046713752.342
853.119,16640038844424.188
853.1191999999999,16640030975099.383
853.1194,16641722603554.523
853.1196,16643418256284.621
