T continuum;T continuum comment;T core;T core comment
0.0013368637851252324;;0.0033473491202933086;
0.001153315487745432;;0.00122082664750683;
0.0013331620652450218;;0.004615861905738522;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
0.0005570265771355135;;0.0007080501562857053;
0.0005242235238589695;;0.0025503376490944155;
3.060233908816205e-05;;3.9235555576795974e-05;
3.159621995761683e-05;;3.4166460861938345e-05;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
0.0005570265771355135;;0.0013947288001222118;
8.703540267742401e-05;;0.00011063283691964147;
0.0005242235238589695;;0.0025503376490944155;
7.650584772040513e-06;;9.808888894198993e-06;
7.727207495935089e-06;;2.500023809658484e-05;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
0.0001871616673908217;;0.000744425293658036;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
0.0007427021028473517;;0.0027041378421399694;
0.0006989646984786258;;0.0034004501987925533;
8.35539825267751e-05;;0.00016779176655818117;
2.0401559392108037e-05;;2.615703705119732e-05;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
0.0007427021028473517;;0.0009440668750476073;
;N/A;;N/A
0.0006989646984786258;;0.0034004501987925533;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
0.0006189184190394597;;0.0007867223958730061;
0.00023298823282620867;;0.001133483399597518;
5.570265501785006e-05;;0.0001118611777054541;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
9.494771201173525e-05;;0.00012069036754869978;
0.0005032545829046106;;0.002448324143130639;
0.00012031773483855611;;0.00024162014384378083;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
5.49697280067941e-05;;6.987337068608935e-05;
0.005032545829046107;;0.024483241431306382;
0.001203177348385561;;0.0024162014384378084;
;N/A;;N/A
0.004980781929733727;;0.005117113394956557;
0.014478672632823583;;0.01574390516518119;
0.004814755865409269;;0.004946542948458006;
0.0172365150390757;;0.018742744244263324;
0.00451383362382119;;0.0046373840141793795;
0.0023668037283461913;;0.0033790674008386027;
0.015081950659191233;;0.016399901213730406;
0.0022207316358897685;;0.013535467208184715;
0.004716503958707813;;0.004836982200759141;
0.004087111629404556;;0.0051836195691045;
0.007668444079841659;;0.010948178378717076;
0.01520399677338091;;0.016399901213730406;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
0.038305946300005805;;0.21759362433984714;
0.009576486575001451;;0.054398406084961784;
;N/A;;N/A
0.011651654079241507;;0.020052014408715492;
0.0029129135198103766;;0.005013003602178873;
;N/A;;N/A
0.09068057534017532;;0.43906476266113253;
0.02267014383504383;;0.10976619066528313;
;N/A;;N/A
0.03936871826272797;;0.1273716708970636;
;N/A;;N/A
;N/A;;N/A
0.0027021328308885514;;0.04578151826642628;
;N/A;;N/A
0.0012426047112017381;;0.009861799993128733;
;N/A;;N/A
0.0014043678107487634;;0.0018167242688341498;
0.009544889297686258;;0.01615294124839147;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
0.003106511778004345;;0.02465449998282183;
0.0030860063305594536;;0.016495561707902173;
0.003510919526871909;;0.004541810672085375;
;N/A;;N/A
0.023862223244215646;;0.040382353120978674;
;N/A;;N/A
0.003175924471867694;;0.0038093386959959234;
;N/A;;N/A
0.0226504720484283;;0.02667662298191451;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
